model,encoding,seed,dedup,data_volume_games,data_volume_rows,data_volume_unique,move_top1,move_top1_ci_lo,move_top1_ci_hi,move_top3,move_macro_f1,value_mse,value_mae,value_acc,value_baseline_acc,train_seconds,infer_seconds_total,infer_ms_per_sample
baseline_majority_class,0,-1,n/a,-1,-1,-1,0.0911574710280576,nan,nan,nan,0.0033416797647793815,nan,nan,nan,0.85551900624344,0.0,0.0,0.0
baseline_uniform_random_legal,0,-1,n/a,-1,-1,-1,0.035395846176359165,nan,nan,nan,nan,nan,nan,nan,0.85551900624344,0.0,0.0,0.0
baseline_side_to_move,0,-1,n/a,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,0.85551900624344,0.85551900624344,0.0,0.0,0.0
logreg,2,42,none,1000,30641,5602,0.7218423017410217,0.7161319198242465,0.7276664919899998,0.8684873995044202,0.7187266123525065,126.72661590576172,6.777466773986816,0.6880335868941861,0.85551900624344,15.53942194900003,0.38471286800000826,0.002081396647802938
rf,2,42,none,1000,30641,5602,0.8586515467933389,0.8545649991942518,0.8626395763146417,0.9451670147267278,0.8661978596384557,90.24108123779297,3.9765231609344482,0.9235692567384789,0.85551900624344,5.1066056440000125,5.549614070000018,0.03002485511323684
knn,2,42,none,1000,30641,5602,0.765178484477964,0.7594413470215393,0.7707372807857836,0.9033889868747091,0.7554801535507245,97.99259948730469,4.156449317932129,0.9141554043087311,0.85551900624344,0.00517858000000615,51.897808302000044,0.2807806372312456
svm,2,42,none,1000,30641,5602,0.712320244110932,0.7064719469544863,0.7185612642466223,0.8561682374454916,0.708007919945171,134.83689880371094,6.100388050079346,0.7524860144778558,0.85551900624344,6.9630281929999,0.46079154599999583,0.002493002077539824
cnn,2,42,none,1000,30641,5602,0.828640834478505,0.8246244791368534,0.8325481094640385,0.9481480679961479,0.8291299308794842,97.97576141357422,5.557306289672852,0.7035285715831503,0.85551900624344,8.078349252000066,2.2644790950000697,0.012251420707229567
logreg,4,42,none,1000,30641,5602,0.7689818972699828,0.763566177635447,0.7745318466442584,0.9003592412651352,0.765410373395178,125.40557098388672,6.737417221069336,0.6970633108627201,0.85551900624344,56.756743888000074,0.48982987099998354,0.002650106966250709
rf,4,42,none,1000,30641,5602,0.8589978034344331,0.854898782258809,0.8629561638943302,0.9462761180302325,0.8678220436523586,87.56505584716797,3.9396729469299316,0.9255277708646678,0.85551900624344,7.535462049999978,6.3600828610000235,0.03440970200828865
knn,4,42,none,1000,30641,5602,0.759508531980047,0.7539288243799189,0.7649938337203332,0.9061915015635651,0.7469062820847715,95.9369888305664,4.131978988647461,0.9147884047307313,0.85551900624344,0.007879469000044992,78.564232317,0.4250529248785397
svm,4,42,none,1000,30641,5602,0.779710442883885,0.7743580976148632,0.7851082059929363,0.9010788058474091,0.776239069101561,135.65892028808594,5.933737277984619,0.7681324864472987,0.85551900624344,68.69615735900004,0.5924171710000792,0.0032051309337031023
cnn,4,42,none,1000,30641,5602,0.816857288161269,0.8128509595809931,0.8206817351081764,0.943387039181103,0.8185889002195604,96.19930267333984,5.447483062744141,0.7271064847376565,0.85551900624344,7.108462208999981,2.2683182890000353,0.012272191745025456
logreg,7,42,none,1000,30641,5602,0.8068861789497603,0.801881920404644,0.8115499354330359,0.9214051527316403,0.8082613361139758,123.05135345458984,6.568892955780029,0.71854745339061,0.85551900624344,69.49501008899995,0.6327963030000774,0.003423592537087751
rf,7,42,none,1000,30641,5602,0.8591709317549802,0.8550412748657742,0.8630821751264532,0.9462977590703009,0.8683261909226063,89.60905456542969,3.9752094745635986,0.9249326422627872,0.85551900624344,10.691879497999935,7.617709908999927,0.04121379134250153
knn,7,42,none,1000,30641,5602,0.7587348647976022,0.7527406058070719,0.764227351505865,0.9007704210264346,0.7470535724949597,100.10621643066406,4.227870464324951,0.914095891448543,0.85551900624344,0.010107840000046053,117.20392623600003,0.6341037159613493
svm,7,42,none,1000,30641,5602,0.8148663124749775,0.8101274631810171,0.819443032077174,0.9286440806345153,0.8162277382209306,131.99755859375,5.6683807373046875,0.8097536167588214,0.85551900624344,245.31625899799997,0.7830236089998834,0.004236361324214611
cnn,7,42,none,1000,30641,5602,0.8138762348918489,0.8098725250283477,0.8177140181253965,0.9404709090318881,0.8163701479455224,101.05598449707031,5.555263996124268,0.7517339883354794,0.85551900624344,7.175848723000172,2.320747850000089,0.012555849302617965
logreg,2,42,none,5000,152998,13048,0.7421848794053042,0.7367085527603356,0.7481348792343292,0.8874882326844629,0.7402347900509395,121.30572509765625,6.552998065948486,0.6993951329300886,0.85551900624344,32.09435099999996,0.3911432729998978,0.0021161868108675774
rf,2,42,none,5000,152998,13048,0.8774900721728687,0.8744970068560224,0.8806672722653208,0.9616466667388035,0.8852922505036023,73.18663024902344,3.4819841384887695,0.9353149312355952,0.85551900624344,12.556462166999836,5.6111475249999785,0.03035776710453693
knn,2,42,none,5000,152998,13048,0.8150448510555417,0.8103986558402055,0.8199430598793322,0.936094008678057,0.8151824007038561,79.96049499511719,3.714836597442627,0.9355151108562277,0.85551900624344,0.0097243069999422,136.00209427599998,0.7358066929028209
svm,2,42,none,5000,152998,13048,0.7201272493156021,0.714657410466362,0.7259923738834535,0.8656524232554617,0.7184792665661935,132.58055114746094,6.055771827697754,0.755867426988541,0.85551900624344,28.274801442999888,0.47323662999997396,0.002560333217914312
cnn,2,42,none,5000,152998,13048,0.8791726630381856,0.8767419721938081,0.8818455918185549,0.9751182141813736,0.8878978877945761,77.88976287841797,4.3060126304626465,0.8083415388943592,0.85551900624344,34.525364072,2.212679706000017,0.011971172544012558
logreg,4,42,none,5000,152998,13048,0.7907690143588301,0.7858360800229673,0.7956499297154788,0.9193492539251437,0.7904376096970109,120.29755401611328,6.541568279266357,0.704578162026467,0.85551900624344,98.89276663499982,0.47872699899994586,0.002590037541793966
rf,4,42,none,5000,152998,13048,0.8785991754763733,0.8756479949360557,0.8818352184509345,0.9626529751019834,0.8873340514447559,72.98741912841797,3.4912123680114746,0.9358667777573391,0.85551900624344,20.05294552700002,6.596144703000164,0.03568685795362413
knn,4,42,none,5000,152998,13048,0.8107382840819329,0.8059685676270506,0.8156643777008813,0.9364078037590486,0.8098401958068275,79.23606872558594,3.6928622722625732,0.9358884187974074,0.85551900624344,0.01634822999994867,202.48361596899986,1.0954890115941864
svm,4,42,none,5000,152998,13048,0.7876040122488287,0.7825080879542948,0.7925094000958156,0.913030070225175,0.7839902590785195,135.5336456298828,5.875900745391846,0.7653083307183743,0.85551900624344,282.6298783049999,0.5950329249999413,0.0032192828429831164
cnn,4,42,none,5000,152998,13048,0.8738706082214311,0.8712980975302421,0.8766287263488256,0.974750316500211,0.8826841415506536,77.73695373535156,4.322511196136475,0.8308103487453607,0.85551900624344,35.23748583700035,2.2715579760001674,0.012289719294070179
logreg,7,42,none,5000,152998,13048,0.8321412727095664,0.8276991925245479,0.8363838356733893,0.9411147299739225,0.8352531510733985,117.60843658447266,6.361128807067871,0.7188991202917212,0.85551900624344,116.99888282899974,0.6188996460000453,0.0033484080093491744
rf,7,42,none,5000,152998,13048,0.8794107144789378,0.8765161997347959,0.8825903677887216,0.9629072573227869,0.8885820505361164,73.2545394897461,3.496295690536499,0.9355259313762619,0.85551900624344,30.710008949999974,7.805594990999907,0.0422302984894549
knn,7,42,none,5000,152998,13048,0.8097373859787701,0.8049463365352956,0.8147542944426028,0.9351255721349968,0.8087059605358523,80.18450927734375,3.7173030376434326,0.9349362130343984,0.85551900624344,0.024619173999781196,304.3238536069998,1.6464711774186556
svm,7,42,none,5000,152998,13048,0.8276128850752568,0.8233461792117702,0.8317616066732304,0.9411471915340252,0.8311512994407129,132.05487060546875,5.629966735839844,0.8138654143718147,0.85551900624344,1047.209713739,0.7789820709999731,0.004214495552766121
cnn,7,42,none,5000,152998,13048,0.879188893818237,0.8766872706408227,0.8819460267327118,0.9764166765854767,0.8881491658051186,78.48785400390625,4.431941509246826,0.8600473938777498,0.85551900624344,35.884648700999605,2.306623271999797,0.012479431663004626
logreg,2,42,none,20000,610944,25868,0.7435969572697664,0.7382168718099157,0.7491857227215973,0.8894142852505491,0.742460413706357,120.70730590820312,6.473398208618164,0.7042102643453044,0.85551900624344,29.54227062200016,0.3898128519999773,0.002108988887325802
rf,2,42,none,20000,610944,25868,0.8743196598028501,0.8711179307138082,0.877735581863433,0.9598179988530249,0.8811965030186958,71.86311340332031,3.4396018981933594,0.9341950074120562,0.85551900624344,12.87954707300014,5.631359902999975,0.030467121325080747
knn,2,42,none,20000,610944,25868,0.8169871344016794,0.8121344479087015,0.8218244058551917,0.9274375926507028,0.8158911209764015,80.18195343017578,3.6703622341156006,0.9222816148544098,0.85551900624344,0.009795995999866136,134.33198014500022,0.726770941195885
svm,2,42,none,20000,610944,25868,0.7246448164298777,0.7191990268860103,0.7305910675387073,0.8687200406851553,0.7238839837497011,135.74766540527344,6.0543036460876465,0.7512091931138211,0.85551900624344,31.205277310000383,0.47201522000023033,0.0025537250722282175
cnn,2,42,none,20000,610944,25868,0.8933962366231321,0.8912880211056069,0.8953982317829012,0.9834824761678046,0.9044461257858666,71.58500671386719,3.765415906906128,0.8968425722540225,0.85551900624344,136.7900041859998,2.2184326560000045,0.012002297499377845
logreg,4,42,none,20000,610944,25868,0.7929980414858738,0.7882021274100512,0.7976698330908414,0.9197225618663233,0.7928936248654262,119.70307159423828,6.448714733123779,0.7067584968133569,0.85551900624344,105.65366927600007,0.4912824589991942,0.0026579658450241526
rf,4,42,none,20000,610944,25868,0.8755586093467652,0.8724145207598891,0.8788909725414287,0.9605700249954012,0.8832532672447891,72.14616394042969,3.4586565494537354,0.9338379302509279,0.85551900624344,19.977722545000688,6.655889480000042,0.036010092731856916
knn,4,42,none,20000,610944,25868,0.8133135678500709,0.8084138673118316,0.8181110408811926,0.9286549011545495,0.8117315766558012,79.58541107177734,3.6547441482543945,0.9225250765551792,0.85551900624344,0.015173965000030876,201.49844923900037,1.0901590034246966
svm,4,42,none,20000,610944,25868,0.788518346191718,0.783848936240275,0.7935251167397086,0.9148316868108681,0.7861880370384532,137.10134887695312,5.8778605461120605,0.7559377603687634,0.85551900624344,307.1882744839995,0.6176678680003533,0.003341743770087502
cnn,4,42,none,20000,610944,25868,0.8927956977612344,0.8907590951703366,0.8948132968227037,0.9835095274678901,0.9039703501131542,71.62937927246094,3.778792142868042,0.9005377798456994,0.85551900624344,138.46351468000012,2.236153151000508,0.012098169984962225
logreg,7,42,none,20000,610944,25868,0.8323630933702674,0.8282298897901698,0.8367009334510723,0.9419424997565383,0.8357173658789315,116.91063690185547,6.278970718383789,0.726235432874904,0.85551900624344,120.88059397799952,0.6446947149997868,0.003487966039796719
rf,7,42,none,20000,610944,25868,0.8763701483493297,0.8731947445903261,0.879672630331925,0.960499691615179,0.884478263612248,72.16809844970703,3.459009885787964,0.9335944685501585,0.85551900624344,30.441661017000115,7.924906464000742,0.04287580458141219
knn,7,42,none,20000,610944,25868,0.8129132086088058,0.8080648273231902,0.8177997596981866,0.9268045922287025,0.8113363188379163,80.36900329589844,3.6709635257720947,0.9217405888527003,0.85551900624344,0.023528990999693633,304.49400693999996,1.6473917511929623
svm,7,42,none,20000,610944,25868,0.8290628347598386,0.8248577792711905,0.8332547246738453,0.9425159873183505,0.8327143786910938,131.94821166992188,5.622897148132324,0.8168735189413203,0.85551900624344,1013.6090062130006,0.7971737000007124,0.004312916995794672
cnn,7,42,none,20000,610944,25868,0.8950247248882781,0.8931285350664091,0.8969489697287188,0.9838936559291039,0.9063002307897474,71.5319595336914,3.759324312210083,0.8906694655745155,0.85551900624344,141.03239149599995,2.3055804619998526,0.012473789789756499
logreg,2,42,none,107969,3310156,56798,0.743910752350758,0.738389224034278,0.7493752177885711,0.8872664120237619,0.7423968493620948,120.59159088134766,6.511822700500488,0.6981778244262419,0.85551900624344,28.355661981000594,0.4116265860002386,0.0022270068602109924
rf,2,42,none,107969,3310156,56798,0.8743304803228843,0.8710264726434844,0.8775921831215812,0.9597747167728881,0.8808317975360207,72.0167236328125,3.4718430042266846,0.930867697501542,0.85551900624344,14.613649822000298,5.594583353999951,0.03026815063245913
knn,2,42,none,107969,3310156,56798,0.8129781317290109,0.8081071571524504,0.8178109032987043,0.9388316002467079,0.8123697052095791,80.51289367675781,3.6682755947113037,0.9254033348842745,0.85551900624344,0.009547958000439394,133.9398944349996,0.7246496555557937
svm,2,42,none,107969,3310156,56798,0.71754114502743,0.7122603484274902,0.7236118307676354,0.868703809905104,0.7156490731415923,132.57752990722656,6.047139644622803,0.756197452849584,0.85551900624344,31.159068036000463,0.47806168900024204,0.0025864380417035936
cnn,2,42,none,107969,3310156,56798,0.9041356027570685,0.9024307928243501,0.9056096970245079,0.9870748888191566,0.9157675632562807,69.99333953857422,3.563124656677246,0.9203555622883236,0.85551900624344,746.1566900769994,2.1912520400001085,0.011855243299393557
logreg,4,42,none,107969,3310156,56798,0.7924407847041128,0.787592462501539,0.797405698910924,0.9194195873053659,0.7921533792537434,119.60067749023438,6.475321292877197,0.710918986766504,0.85551900624344,103.40637895100008,0.49694574600016495,0.0026886057002508466
rf,4,42,none,107969,3310156,56798,0.8760130711882013,0.8728074835540343,0.8792051305209292,0.9609757944966835,0.8836196247900051,72.20515441894531,3.4936273097991943,0.9307378512611316,0.85551900624344,19.949569569999767,6.524060466999799,0.035296863493728424
knn,4,42,none,107969,3310156,56798,0.8101377452200352,0.8052940656979741,0.8150340863948554,0.9396160879491868,0.8089412128762414,79.94670867919922,3.6524131298065186,0.9256846684051635,0.85551900624344,0.014518206000502687,199.88765384599992,1.081444181514223
svm,4,42,none,107969,3310156,56798,0.7880855253903503,0.7831117837358811,0.7930688075964084,0.9151508921518768,0.7849186812817536,135.34120178222656,5.8716559410095215,0.7626681238300312,0.85551900624344,287.7056083280004,0.6112615590009227,0.0033070839726507175
cnn,4,42,none,107969,3310156,56798,0.9038001666360085,0.902106369014894,0.9052681270055496,0.9872263760996354,0.9153563172773796,69.87317657470703,3.525041341781616,0.9188893818236904,0.85551900624344,753.776577785,2.3965019200004463,0.012965698518673222
logreg,7,42,none,107969,3310156,56798,0.8342242228161485,0.8297172811245612,0.8384412628197341,0.9412175249142474,0.83762122814907,116.81591033935547,6.342311382293701,0.730276897107675,0.85551900624344,102.49639891300103,0.6002768099988316,0.003247653624326864
rf,7,42,none,107969,3310156,56798,0.8763593278292955,0.8732568937011853,0.879511024056322,0.9610948202170596,0.8843029510000834,72.36602783203125,3.4924142360687256,0.9306945691809948,0.85551900624344,30.620072050998715,7.878694271001223,0.04262578460132455
knn,7,42,none,107969,3310156,56798,0.8101161041799669,0.8050827336772336,0.8150788445552363,0.9374573942023654,0.8083971215299006,80.36238861083984,3.6761202812194824,0.9253654630641549,0.85551900624344,0.02364486100123031,305.3140661530015,1.651828484764716
svm,7,42,none,107969,3310156,56798,0.8274343464946925,0.8229567631459366,0.8317174403622577,0.9408171656729822,0.8311120636155193,131.50189208984375,5.617828845977783,0.8085146672149064,0.85551900624344,989.8177760639992,0.7487287189997005,0.004050817052055901
cnn,7,42,none,107969,3310156,56798,0.904270859257496,0.9026924872177986,0.9057390618851031,0.9874211454602508,0.916012243726888,70.08976745605469,3.5978682041168213,0.9181644069813996,0.85551900624344,768.5017556999992,2.349300148000111,0.012710324658883708
logreg,2,43,none,1000,30302,5294,0.7331767964768386,0.7274274064148245,0.7388187812001591,0.8759102762478764,0.7305150590381096,122.29840087890625,6.610622406005859,0.6976638497246178,0.85551900624344,16.200803222000104,0.4588953759994183,0.002482743304800082
rf,2,43,none,1000,30302,5294,0.8577047512903471,0.8532168080687751,0.8621592564690764,0.9440254498631204,0.8641080931235448,79.81314086914062,3.825399398803711,0.9191544845645282,0.85551900624344,4.773471559999962,5.390941486000884,0.02916639517621695
knn,2,43,none,1000,30302,5294,0.7800242379648766,0.7747556538302486,0.7854748409054887,0.9100490169557549,0.7699914129064909,85.00360870361328,4.067503929138184,0.916341149355638,0.85551900624344,0.004572536001433036,51.23130104700067,0.27717465967841776
svm,2,43,none,1000,30302,5294,0.7153986820606598,0.7096910716983738,0.7212961420545794,0.8671997576203513,0.7123969678761513,143.52207946777344,6.134254455566406,0.7580802233355335,0.85551900624344,7.009852426999714,0.4690058169999247,0.002537443419500334
cnn,2,43,none,1000,30302,5294,0.821347803975459,0.817030662890712,0.8254431384945108,0.9429596286397525,0.8204120688874329,89.15355682373047,4.931381702423096,0.7803001612257485,0.85551900624344,6.928504965000684,2.2373601440012862,0.012104700130935252
logreg,4,43,none,1000,30302,5294,0.7749548243288572,0.7698731521240764,0.7799527181648884,0.9043790644578379,0.7722330116860188,121.27347564697266,6.564507961273193,0.7024140580196284,0.85551900624344,55.80774311700043,0.45823477399972035,0.002479169276213902
rf,4,43,none,1000,30302,5294,0.8591871625350315,0.8547650560454032,0.8634037112492029,0.945518681627839,0.8669058827770975,78.80146789550781,3.8113853931427,0.9189921767640152,0.85551900624344,7.276972468000167,6.325809083000422,0.03422427195754256
knn,4,43,none,1000,30302,5294,0.7713191295973685,0.7657619613681155,0.7769310254982323,0.9127703777443544,0.7594172387736573,84.07041931152344,4.0118408203125,0.9165792007963903,0.85551900624344,0.006574266000825446,77.12971877699965,0.41729183362909233
svm,4,43,none,1000,30302,5294,0.7845255742991009,0.7795737776810973,0.789322652383439,0.9088262981918911,0.7808913751657944,142.03964233398438,5.9451189041137695,0.7740026185658483,0.85551900624344,65.09277386499889,0.6020799220004847,0.003257408929095754
cnn,4,43,none,1000,30302,5294,0.7966283259573456,0.7923675820482232,0.8009681071578125,0.9344384691128256,0.7935991622437784,90.69239044189453,5.087125778198242,0.733247129857061,0.85551900624344,7.188190877999659,2.097899727999902,0.011350183018275329
logreg,7,43,none,1000,30302,5294,0.8149691074153024,0.8102532948085387,0.8197165791645976,0.929022798835712,0.8165534632333796,118.52574920654297,6.394171237945557,0.7210902755986452,0.85551900624344,62.915216331999545,0.6073161090007488,0.003285738062265324
rf,7,43,none,1000,30302,5294,0.8596794961965872,0.8553169569420619,0.8638274267469437,0.9457134509884545,0.8677248608635004,79.41020965576172,3.8147900104522705,0.9193438436651266,0.85551900624344,10.52860996399977,7.606366866999451,0.04115242253589411
knn,7,43,none,1000,30302,5294,0.7677754092861703,0.7622646015573666,0.7736786035141467,0.9076035794280273,0.7554558325162877,85.86618041992188,4.079133033752441,0.9160003029745609,0.85551900624344,0.01088775300013367,115.98082477599928,0.627486419035455
svm,7,43,none,1000,30302,5294,0.8240529339840073,0.8193134612829399,0.8287229109980643,0.9334105197095772,0.8268799077170541,136.13494873046875,5.6782073974609375,0.809337026737505,0.85551900624344,270.2660972909998,0.77340203499989,0.004184306107100912
cnn,7,43,none,1000,30302,5294,0.8167761342610126,0.8126559589333939,0.8208516564786492,0.9381823690446562,0.8171732796752942,93.4190444946289,5.148407459259033,0.7776815953774738,0.85551900624344,7.327424769000572,2.320834079000633,0.012556315823931925
logreg,2,43,none,5000,153993,12610,0.7460964973976649,0.7408005790776176,0.7512932395761381,0.8893114903102243,0.7452174446726764,121.04319763183594,6.5941925048828125,0.6908523323630934,0.85551900624344,33.40786858499996,0.4224330720007856,0.0022854727593450645
rf,2,43,none,5000,153993,12610,0.8764026099094322,0.8730800753719814,0.879619064557669,0.9611110509971109,0.8842417168349617,73.87079620361328,3.5122227668762207,0.934346494692535,0.85551900624344,12.589782332999675,5.45170197400148,0.029495125215065844
knn,2,43,none,5000,153993,12610,0.8155966975772856,0.8109533583991615,0.8202137598658463,0.9308244154214051,0.8162808639932166,80.78167724609375,3.712573528289795,0.9350390079747233,0.85551900624344,0.00937811899893859,133.52530418300012,0.7224066144919231
svm,2,43,none,5000,153993,12610,0.7230433794648171,0.717644305451145,0.7285020708956078,0.8698616055487627,0.7196835843899575,140.3441619873047,6.088991165161133,0.7560676066091736,0.85551900624344,25.738855820000026,0.4767301510000834,0.002579234074900091
cnn,2,43,none,5000,153993,12610,0.8776740210134499,0.8749503097894905,0.8803272496416067,0.9764707791856476,0.8856555422420943,76.22191619873047,4.075277805328369,0.8769598666911932,0.85551900624344,34.725248487999124,2.2369774189992313,0.01210262948915909
logreg,4,43,none,5000,153993,12610,0.795194607052815,0.7904406478080139,0.7998611366022306,0.9216486144324096,0.7946818613397931,119.99598693847656,6.547306537628174,0.7039343410844325,0.85551900624344,102.10085097699994,0.5022171269993123,0.002717125242105415
rf,4,43,none,5000,153993,12610,0.8777768159537748,0.8745638973982479,0.8808479010609565,0.9621606414404277,0.8868111343676897,73.61695861816406,3.515693426132202,0.9341354945518682,0.85551900624344,20.037054144999274,6.525562622000507,0.03530499054286823
knn,4,43,none,5000,153993,12610,0.8125074391075235,0.8080502193951262,0.8171412830194825,0.9310029540019693,0.8127649627837144,79.90350341796875,3.690419912338257,0.9354501877360226,0.85551900624344,0.015555227999357157,201.64241882399983,1.090937916314097
svm,4,43,none,5000,153993,12610,0.7935769393077031,0.7888469407597734,0.7980857858123576,0.915497148792971,0.7912459671377554,141.63465881347656,5.898612976074219,0.7702641288940346,0.85551900624344,302.7766827510004,0.595151004001309,0.0032199216810830746
cnn,4,43,none,5000,153993,12610,0.8753908912862353,0.8726384172176894,0.8781399496625734,0.9750587013211856,0.8835062876047997,76.90974426269531,4.175506591796875,0.8744927881233973,0.85551900624344,35.2452103450014,2.249100275999808,0.012168217297682289
logreg,7,43,none,5000,153993,12610,0.8348518129781317,0.8306411515775343,0.8390505974921696,0.9419695510566238,0.8386793881833501,117.14401245117188,6.385579586029053,0.714230065896967,0.85551900624344,125.85581379299947,0.6221504579989414,0.003365995747529899
rf,7,43,none,5000,153993,12610,0.8783340727355357,0.8750902705760539,0.8814413955218237,0.9625555904216757,0.8877825694040999,73.8222885131836,3.5195820331573486,0.9345033922330307,0.85551900624344,29.733754412000053,7.91619197,0.042828656902950756
knn,7,43,none,5000,153993,12610,0.8117878745252497,0.8070913869427897,0.8164889025124837,0.9289470551954727,0.8118218034572381,81.04608917236328,3.7285633087158203,0.9348063667939881,0.85551900624344,0.02251236499978404,295.4411042289994,1.598413193616972
svm,7,43,none,5000,153993,12610,0.8317409134683013,0.8275990373501435,0.8357890337301597,0.9424564744581625,0.8359569303987218,136.6796112060547,5.648080348968506,0.811522771784412,0.85551900624344,983.377117899001,0.7564922889996524,0.00409281998441657
cnn,7,43,none,5000,153993,12610,0.8804170228421178,0.877730222034084,0.882933369204682,0.9770929590876137,0.8894969892490474,77.55990600585938,4.204660892486572,0.845358537931333,0.85551900624344,36.00464047999958,2.3738117849989067,0.012842938988491872
logreg,2,43,none,20000,612918,24924,0.7439269831308093,0.7386513434641759,0.7491616714350829,0.8868876938225652,0.7429008672541393,120.57478332519531,6.531363487243652,0.6976854907646861,0.85551900624344,28.3940640969995,0.42011913300120796,0.002272953747693649
rf,2,43,none,20000,612918,24924,0.8757587889673978,0.8724792473532825,0.8790765667157645,0.9601750760141532,0.8829672699894187,71.6014404296875,3.4402778148651123,0.932723416687406,0.85551900624344,12.857106555999053,5.595208284999899,0.030271531671661592
